"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEPERK_STRNG_ARMORDISSECTOR","Armor dissector","Armor dissector","Disektor brnění","Panzerzerleger","Рассекатель брони","Armor dissector","Armor dissector","Dissettore armatura","Disector de armadura","Dissecteur d'armure","护甲解剖器","アーマーディセクター","Dissecador de armaduras","护甲解剖器",
"STR_TERJEPERK_STRNG_ARMORDISSECTOR_DES","Your skill with melee weapons allows you to deliver more powerful blows. The chance to break through the enemy's defenses and inflict deep, dangerous wounds has been increased.","Your skill with melee weapons allows you to deliver more powerful blows. The chance to break through the enemy's defenses and inflict deep, dangerous wounds has been increased.","Vaše dovednosti v zacházení se zbraněmi na blízko vám umožní udeřit silnějšími údery. Zvýšila se šance prorazit obranu soupeře a způsobit hluboké, nebezpečné rány.","Ihre Fähigkeiten im Umgang mit Nahkampfwaffen ermöglichen es Ihnen, stärkere Schläge einzusetzen. Erhöht die Chance, die gegnerische Verteidigung zu durchbrechen und tiefe, gefährliche Wunden zuzufügen.","Ваше мастерство в обращении с оружием ближнего боя позволяет наносить более мощные удары. Увеличен шанс пробить защиту противника и нанести глубокие, опасные раны.","Twoje umiejętności w posługiwaniu się bronią do walki w zwarciu pozwalają na mocniejsze uderzenia. Zwiększona szansa na przebicie się przez obronę wroga i zadawanie głębokich, niebezpiecznych ran.","A közelharci fegyverekkel való képessége lehetővé teszi, hogy erősebb ütéseket hajtson végre. Megnőtt az esély arra, hogy áttörje az ellenség védelmét és mély, veszélyes sebeket okozzon.","La tua abilità con le armi da mischia ti consente di sferrare colpi più potenti. Maggiore possibilità di sfondare le difese nemiche e infliggere ferite profonde e pericolose.","Su habilidad en el manejo de armas cuerpo a cuerpo le permite lanzar golpes más poderosos. Se ha aumentado la posibilidad de penetrar las defensas enemigas y causar heridas profundas y peligrosas.","Votre maîtrise de la manipulation des armes de mêlée vous permet d'infliger des coups plus puissants. Augmente les chances de briser les défenses ennemies et de causer des blessures profondes et dangereuses.","你的近战武器技能可以让你提供更强大的打击。 突破敌人防御并造成深刻，危险伤口的机会已经增加。","近接武器であなたのスキルを使用すると、より強力な打撃を提供することができます。 敵の防御を突破し、深く危険な傷を負わせる機会が増えました。","Sua habilidade com armas corpo a corpo permite ataques mais poderosos. Aumenta a chance de romper as defesas inimigas e causar feridas profundas e perigosas.","你的近战武器技能可以让你提供更强大的打击。 突破敌人防御并造成深刻，危险伤口的机会已经增加。",
"STR_TERJEPERK_STRNG_BONECRUSHER","Bonecrusher","Bonecrusher","Kostol","Knochen","Костолом","Kostolem","Bonecrusher","Spaccalegna","Kostol","Kostolom","[医]博内克鲁瑟","ボーンクラッシャー","Bonecrusher","[医]博内克鲁瑟",
"STR_TERJEPERK_STRNG_BONECRUSHER_DES","Your powerful blows with cold steel are so destructive that they are highly likely to break the bones of enemies, disabling them and leaving them helpless.","Your powerful blows with cold steel are so destructive that they are highly likely to break the bones of enemies, disabling them and leaving them helpless.","Vaše silné údery chladnými zbraněmi jsou tak zničující, že je vysoce pravděpodobné, že zlomí kosti nepřátel, vyřadí je z provozu a zůstanou v bezmocném stavu.","Ihre mächtigen Schläge mit kalten Waffen sind so verheerend, dass sie mit hoher Wahrscheinlichkeit feindliche Knochen brechen, sie außer Gefecht setzen und in einem hilflosen Zustand zurücklassen.","Ваши мощные удары холодным оружием настолько разрушительны, что с высокой вероятностью ломают кости врагов, выводя их из строя и оставляя в беспомощном состоянии.","Twoje potężne ciosy bronią białą są tak niszczycielskie, że z dużym prawdopodobieństwem łamią kości wrogów, obezwładniając ich i pozostawiając w stanie bezradności.","A hideg acél erőteljes ütései annyira rombolóak, hogy nagy valószínűséggel megtörik az ellenségek csontjait, letiltják őket, és tehetetlenek maradnak.","I tuoi potenti colpi di armi da mischia sono così devastanti che è molto probabile che rompano le ossa dei nemici, disabilitandoli e lasciandoli in uno stato impotente.","Tus poderosos ataques con armas blancas son tan devastadores que es muy probable que rompan los huesos de los enemigos, incapacitándolos y dejándolos en un estado indefenso.","Vos puissantes attaques à l'arme froide sont si dévastatrices qu'elles risquent fort de briser les OS des ennemis, de les mettre hors d'état de fonctionner et de les laisser dans un état impuissant.","你强大的打击与冷钢是如此的破坏性，他们是极有可能打破敌人的骨头，禁用他们，让他们无助。","冷たい鋼でのあなたの強力な打撃は非常に破壊的であるため、敵の骨を壊し、それらを無効にして無力なままにする可能性が非常に高くなります。","Seus poderosos ataques com armas afiadas são tão devastadores que há uma alta probabilidade de quebrar os ossos dos inimigos, incapacitando-os e deixando-os indefesos.","你强大的打击与冷钢是如此的破坏性，他们是极有可能打破敌人的骨头，禁用他们，让他们无助。",
"STR_TERJEPERK_STRNG_MASTERSWORD_DES","Your blows with cold steel are so accurate and strong that one powerful swing to the upper body can decapitate an opponent, instantly depriving him of any chance of escape.","Your blows with cold steel are so accurate and strong that one powerful swing to the upper body can decapitate an opponent, instantly depriving him of any chance of escape.","Vaše údery chladnými zbraněmi jsou tak přesné a silné, že jeden silný švih do horní části těla může protivníka sťat a okamžitě ho připravit o šanci na záchranu.","Deine Schläge mit kalten Waffen sind so genau und stark, dass ein starker Schlag in den Oberkörper einen Gegner enthauptet und ihm sofort die Chance auf Rettung nimmt.","Ваши удары холодным оружием настолько точны и сильны, что один мощный взмах в верхнюю часть тела может обезглавить противника, мгновенно лишая его шансов на спасение.","Twoje ciosy bronią białą są tak precyzyjne i potężne, że jeden potężny ruch w górną część ciała może ściąć głowę przeciwnikowi, natychmiast pozbawiając go szans na ucieczkę.","A hideg acél ütései annyira pontosak és erősek, hogy egy erőteljes lengés a felsőtestre lefejezheti az ellenfelet, azonnal megfosztva a menekülés esélyétől.","I tuoi colpi con armi da mischia sono così precisi e potenti che un potente colpo nella parte superiore del corpo può decapitare un avversario, privandolo istantaneamente delle sue possibilità di salvataggio.","Tus golpes con armas blancas son tan precisos y poderosos que un solo golpe poderoso en la parte superior del cuerpo puede decapitar a un oponente, privándolo instantáneamente de las posibilidades de salvación.","Vos coups d'arme froide sont si précis et puissants qu'un seul coup puissant dans le haut du corps peut décapiter l'ennemi, le privant instantanément de toute chance de sauvetage.","你用冷钢的打击是如此准确和强大，一个强大的挥杆到上半身可以斩首对手，立即剥夺他任何逃跑的机会。","冷たい鋼でのあなたの打撃は非常に正確で強いので、上半身への強力なスイングが相手を斬首することができ、即座に脱出の機会を奪うことがで","Seus ataques com armas afiadas são tão precisos e poderosos que um único golpe poderoso na parte superior do corpo pode decapitar o inimigo, privando-o instantaneamente de uma chance de salvação.","你用冷钢的打击是如此准确和强大，一个强大的挥杆到上半身可以斩首对手，立即剥夺他任何逃跑的机会。",
"STR_TERJEPERK_STRONGHANDS_MSG","You can't carry large objects without the 'Strong Hands' perk.","You can't carry large objects without the 'Strong Hands' perk.","Nemůžete nosit velké předměty bez perku 'silné ruce'.","Sie können große Gegenstände nicht ohne den Vorteil 'Starke Hände' tragen.","Вы не можете переносить большие предметы без перка 'Сильные Руки'.","Nie możesz nosić dużych przedmiotów bez profitu 'silne ręce'.","Nem hordozhat nagy tárgyakat az 'erős kezek' perk nélkül.","Non puoi trasportare oggetti di grandi dimensioni senza il vantaggio 'mani forti'.","No puedes llevar objetos grandes sin el beneficio de 'manos Fuertes'.","Vous ne pouvez pas transporter de gros objets sans l'avantage 'mains Fortes'.","如果没有'强壮的手'，你就不能携带大件物品。","「強い手」の特典がなければ、大きな物を運ぶことはできません。","Você não pode carregar objetos grandes sem a vantagem de 'mãos fortes'.","如果没有'强壮的手'，你就不能携带大件物品。",
"STR_TERJEPERK_METABLSM_INCREASEDCALORIE","Increased calorie content","Increased calorie content","Zvýšená kalorická hodnota","Erhöhte Kalorienzufuhr","Повышенная калорийность","Zwiększona kaloryczność","Megnövekedett kalóriatartalom","Aumento delle calorie","Aumento de calorías","Augmentation de la teneur en calories","增加卡路里含量","カロリー量の増加","Aumento de calorias","增加卡路里含量",
"STR_TERJEPERK_METABLSM_INCREASEDCALORIE_DES","Your body has learned to digest food better, extracting more energy from it. Thanks to this, each serving you eat brings you more calories, which helps you recover faster and conserve energy for longer.","Your body has learned to digest food better, extracting more energy from it. Thanks to this, each serving you eat brings you more calories, which helps you recover faster and conserve energy for longer.","Vaše tělo se naučilo lépe absorbovat jídlo a extrahovat z něj více energie. Díky tomu Vám každá porce, kterou sníte, přináší více kalorií, což vám pomůže rychleji obnovit sílu a udržet energii déle.","Ihr Körper hat gelernt, Nahrung besser zu verdauen, indem er mehr Energie daraus extrahiert. Aus diesem Grund bringt Ihnen jede Portion, die Sie essen, mehr Kalorien, was Ihnen hilft, Ihre Kraft schneller wiederherzustellen und Energie länger zu sparen.","Ваш организм научился лучше усваивать пищу, извлекая из нее больше энергии. Благодаря этому, каждая съеденная порция приносит вам больше калорий, что помогает быстрее восстанавливать силы и дольше сохранять энергию.","Twoje ciało nauczyło się lepiej wchłaniać pokarm, czerpiąc z niego więcej energii. Dzięki temu każda zjedzona porcja przynosi więcej kalorii, co pomaga szybciej zregenerować siły i dłużej oszczędzać energię.","A tested megtanulta jobban megemészteni az ételt, több energiát nyerve belőle. Ennek köszönhetően minden egyes adag, amit eszel, több kalóriát hoz, ami segít gyorsabban felépülni és hosszabb ideig megőrizni az energiát.","Il tuo corpo ha imparato ad assorbire meglio il cibo estraendo più energia da esso. Per questo motivo, ogni porzione che mangi ti porta più calorie, il che ti aiuta a recuperare più velocemente e a conservare l'energia più a lungo.","Su cuerpo ha aprendido a absorber mejor los alimentos, extrayendo más energía de ellos. Gracias a esto, cada porción que comas te aporta más calorías, lo que te ayuda a recuperarte más rápido y conservar la energía por más tiempo.","Votre corps a appris à mieux digérer les aliments, en en extraire plus d'énergie. Grâce à cela, chaque portion consommée vous apporte plus de calories, ce qui vous aide à retrouver de la force plus rapidement et à conserver de l'énergie plus longtemps.","你的身体已经学会了更好地消化食物，从中提取更多的能量。 多亏了这一点，你吃的每份食物都会给你带来更多的卡路里，这可以帮助你更快地恢复并节省更长时间的能量。","あなたの体は食べ物をよりよく消化し、そこからより多くのエネルギーを抽出することを学びました。 これのおかげで、あなたが食べる各部分はあなたにより多くのカロリーをもたらします、それはあなたがより速く回復しそしてより長くエネルギーを節約するのを助けます。","Seu corpo aprendeu a absorver melhor os alimentos, extraindo mais energia deles. Graças a isso, cada porção consumida traz mais calorias, o que ajuda a recuperar mais rapidamente e economizar energia por mais tempo.","你的身体已经学会了更好地消化食物，从中提取更多的能量。 多亏了这一点，你吃的每份食物都会给你带来更多的卡路里，这可以帮助你更快地恢复并节省更长时间的能量。",
"STR_TERJEPERK_METABLSM_INCREASEDHYDRAT","Increased hydration","Increased hydration","Zvýšená hydrace","Erhöhte Hydration","Повышенная гидрация","Zwiększone nawodnienie","Fokozott hidratáció","Maggiore idratazione","Mayor hidratación","Augmentation de l'hydratation","增加水合作用","水分補給の増加","Aumento da hidratação","增加水合作用",
"STR_TERJEPERK_METABLSM_INCREASEDHYDRAT_DES","Your body has optimized the process of water absorption, allowing you to extract more benefits from each serving of liquid. Due to this, each drop you drink significantly improves your condition, maintaining your hydration level at a higher level.","Your body has optimized the process of water absorption, allowing you to extract more benefits from each serving of liquid. Due to this, each drop you drink significantly improves your condition, maintaining your hydration level at a higher level.","Vaše tělo optimalizovalo proces absorpce vody, což umožňuje získat z každé porce tekutiny více výhod. Díky tomu každá vypitá kapka výrazně zlepšuje váš stav a udržuje úroveň hydratace na vyšší úrovni.","Ihr Körper hat den Prozess der Wasseraufnahme optimiert, sodass Sie aus jeder Portion Flüssigkeit mehr Nutzen ziehen können. Aus diesem Grund verbessert jeder getrunkene Tropfen Ihren Zustand erheblich und hält die Flüssigkeitszufuhr auf einem höheren Niveau.","Ваш организм оптимизировал процесс усвоения воды, позволяя извлекать из каждой порции жидкости больше пользы. Благодаря этому, каждая выпитая капля значительно улучшает ваше состояние, поддерживая уровень гидратации на более высоком уровне.","Twoje ciało zoptymalizowało proces wchłaniania wody, umożliwiając czerpanie większych korzyści z każdej porcji płynu. Dzięki temu każda wypita kropla znacznie poprawia kondycję, utrzymując poziom nawodnienia na wyższym poziomie.","A szervezet optimalizálta a víz abszorpciós folyamatát, lehetővé téve, hogy minden egyes folyadék adagból több előnyt nyerjen ki. Ennek köszönhetően minden csepp, amit iszik, jelentősen javítja az állapotát, magasabb szinten tartva a hidratációs szintet.","Il tuo corpo ha ottimizzato il processo di assorbimento dell'acqua, permettendoti di trarre maggiori benefici da ogni porzione di liquido. A causa di ciò, ogni goccia che bevi migliora notevolmente le tue condizioni mantenendo il tuo livello di idratazione a un livello più alto.","Su cuerpo ha optimizado el proceso de absorción de agua, lo que le permite extraer más beneficios de cada porción de líquido. Gracias a esto, cada gota que bebe mejora significativamente su condición, manteniendo su nivel de hidratación en un nivel más alto.","Votre corps a optimisé le processus d'absorption de l'eau, ce qui vous permet d'extraire plus d'avantages de chaque portion de liquide. Grâce à cela, chaque goutte bu améliore considérablement votre condition en maintenant votre niveau d'hydratation à un niveau plus élevé.","你的身体已经优化了吸水过程，让你从每份液体中提取更多的好处。 因此，你喝的每一滴都能显着改善你的状况，保持你的水合水平在一个更高的水平。","あなたの体は吸水プロセスを最適化しており、液体の各サービングからより多くの利点を抽出することができます。 このため、あなたが飲む各ドロップは、より高いレベルであなたの水分補給レベルを維持し、あなたの状態を大幅に改善します。","Seu corpo otimizou o processo de absorção de água, permitindo que você extraia mais benefícios de cada porção de líquido. Graças a isso, cada gota ingerida melhora significativamente sua condição, mantendo seu nível de hidratação em um nível mais alto.","你的身体已经优化了吸水过程，让你从每份液体中提取更多的好处。 因此，你喝的每一滴都能显着改善你的状况，保持你的水合水平在一个更高的水平。",
"STR_TERJEPERK_METABLSM_ENREGYSAVE","Energy saving","Energy saving","Úspora energie","Energieeinsparung","Экономия энергии","Oszczędność energii","Energiatakarékosság","Risparmio dell'energia","Ahorro de energía","Économie d'énergie","节约能源","省エネ","Economia de energia","节约能源",
"STR_TERJEPERK_METABLSM_ENREGYSAVE_DES","Your body has learned to expend energy efficiently at rest, which significantly reduces overall energy costs when you are not actively moving. Thanks to this, you spend fewer calories during rest, which helps you stay strong longer and need less food.","Your body has learned to expend energy efficiently at rest, which significantly reduces overall energy costs when you are not actively moving. Thanks to this, you spend fewer calories during rest, which helps you stay strong longer and need less food.","Vaše tělo se naučilo efektivně spotřebovávat energii v klidu, což výrazně snižuje celkové energetické náklady, když se aktivně nepohybujete. Díky tomu strávíte méně kalorií během odpočinku, což vám pomůže udržet si sílu déle a méně často potřebujete jídlo.","Ihr Körper hat gelernt, in Ruhe effizient Energie zu verbrauchen, was den gesamten Energiekosten erheblich reduziert, wenn Sie sich nicht aktiv bewegen. Aus diesem Grund verschwenden Sie weniger Kalorien während der Ruhe, was dazu beiträgt, länger Kraft zu bewahren und weniger häufig zu essen.","Ваш организм научился эффективно расходовать энергию в состоянии покоя, что значительно снижает общие энергетические затраты, когда вы не двигаетесь активно. Благодаря этому, вы тратите меньше калорий во время отдыха, что помогает дольше сохранять силы и реже нуждаться в еде.","Twoje ciało nauczyło się efektywnie zużywać energię w spoczynku, co znacznie zmniejsza całkowity wydatek energetyczny, gdy nie poruszasz się aktywnie. Dzięki temu spędzasz mniej kalorii podczas odpoczynku, co pomaga dłużej zachować siłę i rzadziej potrzebować jedzenia.","A tested megtanulta hatékonyan felhasználni az energiát nyugalomban, ami jelentősen csökkenti az Általános energiaköltségeket, ha nem mozog aktívan. Ennek köszönhetően kevesebb kalóriát töltesz pihenés közben, ami segít abban, hogy hosszabb ideig maradj erős és kevesebb ételre van szükséged.","Il tuo corpo ha imparato a spendere energia in modo efficiente a riposo, il che riduce notevolmente il dispendio energetico complessivo quando non ti muovi attivamente. Grazie a questo, spendi meno calorie durante il riposo, il che ti aiuta a rimanere forte più a lungo e ad avere meno bisogno di cibo.","Su cuerpo ha aprendido a gastar energía de manera eficiente en reposo, lo que reduce significativamente el gasto total de energía cuando no se está moviendo activamente. Gracias a esto, gastas menos calorías mientras descansas, lo que te ayuda a mantenerte fuerte por más tiempo y a tener menos necesidad de comer.","Votre corps a appris à dépenser efficacement de l'énergie au repos, ce qui réduit considérablement le coût énergétique global lorsque vous ne bougez pas activement. Grâce à cela, vous dépensez moins de calories pendant le repos, ce qui vous aide à rester fort plus longtemps et à avoir moins besoin de nourriture.","你的身体已经学会了在休息时有效地消耗能量，当你不积极运动时，这会显着降低整体能源成本。 多亏了这一点，你在休息时花费更少的卡路里，这有助于你保持强壮更长时间，需要更少的食物。","あなたの体は安静時にエネルギーを効率的に消費することを学びました、それはあなたが積極的に動いていないときに全体的なエネルギーコストを大幅に削減します。 これのおかげで、あなたは休息中により少ないカロリーを使うので、あなたはより長く強くとどまり、より少ない食物を必要とするのを助けます。","Seu corpo aprendeu a gastar energia de forma eficiente em repouso, o que reduz significativamente os custos totais de energia quando você não está se movendo ativamente. Graças a isso, você gasta menos calorias durante o descanso, o que ajuda a economizar mais energia e a precisar de menos comida.","你的身体已经学会了在休息时有效地消耗能量，当你不积极运动时，这会显着降低整体能源成本。 多亏了这一点，你在休息时花费更少的卡路里，这有助于你保持强壮更长时间，需要更少的食物。",
"STR_TERJEPERK_METABLSM_WATERSAVE","Saving water","Saving water","Úspora vody","Wasser sparen","Экономия воды","Oszczędzanie wody","Víztakarékosság","Risparmio idrico","Ahorro de agua","Économie d'eau","节约用水","水を節約する","Economia de água","节约用水",
"STR_TERJEPERK_METABLSM_WATERSAVE_DES","Your body has adapted to the minimum consumption of water at rest, which allows you to go longer without drinking when you are inactive. Due to this, the hydration level decreases more slowly, which helps you conserve water resources and feel less thirsty.","Your body has adapted to the minimum consumption of water at rest, which allows you to go longer without drinking when you are inactive. Due to this, the hydration level decreases more slowly, which helps you conserve water resources and feel less thirsty.","Vaše tělo se přizpůsobilo minimálnímu průtoku klidové vody, což vám umožní déle se obejít bez pití, když jste neaktivní. Díky tomu hladina hydratace klesá pomaleji, což vám pomůže udržet vodní zdroje a méně často pociťovat žízeň.","Ihr Körper hat sich in Ruhe an die minimale Wassermenge angepasst, so dass Sie länger ohne zu trinken auskommen können, wenn Sie inaktiv sind. Dadurch sinkt die Flüssigkeitszufuhr langsamer ab, was Ihnen hilft, Wasserressourcen zu sparen und weniger durstig zu sein.","Ваш организм адаптировался к минимальному расходу воды в состоянии покоя, что позволяет вам дольше обходиться без питья, когда вы неактивны. Благодаря этому, уровень гидратации снижается медленнее, что помогает вам сохранять водные ресурсы и реже испытывать жажду.","Twoje ciało dostosowało się do minimalnego spoczynkowego przepływu wody, co pozwala Ci dłużej nie pić, gdy jesteś nieaktywny. Dzięki temu poziom nawodnienia spada wolniej, co pomaga oszczędzać zasoby wodne i rzadziej odczuwać pragnienie.","A tested alkalmazkodott a nyugalmi víz minimális fogyasztásához, amely lehetővé teszi, hogy inaktív állapotban hosszabb ideig menjen ivás nélkül. Ennek köszönhetően a hidratációs szint lassabban csökken, ami segít megőrizni a vízkészleteket és kevésbé szomjasnak érezni magát.","Il tuo corpo si è adattato al minimo apporto di acqua a riposo, permettendoti di andare più a lungo senza bere quando sei inattivo. A causa di ciò, i livelli di idratazione diminuiscono più lentamente, il che ti aiuta a conservare le risorse idriche e ad avere sete meno spesso.","Su cuerpo se ha Adaptado al consumo mínimo de agua en reposo, lo que le permite pasar más tiempo sin beber cuando está inactivo. Debido a esto, los niveles de hidratación disminuyen más lentamente, lo que le ayuda a conservar los recursos hídricos y a tener menos sed.","Votre corps s'est adapté à une consommation minimale d'eau au repos, ce qui vous permet de rester sans boire plus longtemps lorsque vous êtes inactif. Grâce à cela, le niveau d'hydratation diminue plus lentement, ce qui vous aide à conserver les ressources en eau et à avoir moins soif.","你的身体已经适应了休息时水的最低消耗，这可以让你在不活动的时候不喝更长的时间。 因此，水化水平下降得更慢，这有助于你节约水资源，减少口渴。","あなたの体は安静時の水の最小消費量に適応しているので、あなたが活動していないときに飲むことなく長く行くことができます。 これにより、水分補給レベルがゆっくりと低下するため、水資源を節約し、喉の渇きを感じることが少なくなります。","Seu corpo se adaptou ao consumo mínimo de água em repouso, permitindo que você fique mais tempo sem beber quando estiver inativo. Graças a isso, o nível de hidratação diminui mais lentamente, o que ajuda a preservar os recursos hídricos e a ter menos sede.","你的身体已经适应了休息时水的最低消耗，这可以让你在不活动的时候不喝更长的时间。 因此，水化水平下降得更慢，这有助于你节约水资源，减少口渴。",
"STR_TERJEPERK_METABLSM_ENERGYCONTROL","Energy control","Energy control","Kontrola energie","Kontrolle der Energie","Контроль энергии","Kontrola energii","Energiaszabályozás","Controllo dell'energia","Control de energía","Contrôle de l'énergie","能源控制","エネルギー制御","Controle de energia","能源控制",
"STR_TERJEPERK_METABLSM_ENERGYCONTROL_DES","Your body has become more efficient at managing energy while running, which allows you to spend less energy on each movement. Thanks to this, you lose fewer calories when sprinting, which helps you maintain endurance for longer and avoid rapid fatigue.","Your body has become more efficient at managing energy while running, which allows you to spend less energy on each movement. Thanks to this, you lose fewer calories when sprinting, which helps you maintain endurance for longer and avoid rapid fatigue.","Vaše tělo se stalo efektivnějším při řízení energie při běhu, což vám umožňuje věnovat méně energie každému pohybu. Díky tomu při sprintu ztrácíte méně kalorií, což vám pomůže udržet si vytrvalost déle a vyhnout se rychlé únavě.","Ihr Körper ist beim Laufen effizienter bei der Energiemanagement geworden, wodurch Sie bei jeder Bewegung weniger Kraft aufwenden können. Dadurch verlieren Sie beim Sprinten weniger Kalorien, was Ihnen hilft, Ihre Ausdauer länger zu halten und schnelle Ermüdung zu vermeiden.","Ваш организм стал более эффективным в управлении энергией во время бега, что позволяет вам тратить меньше сил на каждое движение. Благодаря этому, вы теряете меньше калорий при беге спринтом, что помогает вам дольше сохранять выносливость и избегать быстрой усталости.","Twoje ciało stało się bardziej wydajne w zarządzaniu energią podczas biegu, co pozwala poświęcić mniej energii na każdy ruch. Dzięki temu tracisz mniej kalorii podczas sprintu, co pomaga dłużej utrzymać wytrzymałość i uniknąć szybkiego zmęczenia.","A tested hatékonyabban kezeli az energiát futás közben, ami lehetővé teszi, hogy kevesebb energiát költsön minden mozgásra. Ennek köszönhetően kevesebb kalóriát veszít a sprintelés során, ami segít hosszabb ideig fenntartani az állóképességet és elkerülni a gyors fáradtságot.","Il tuo corpo è diventato più efficiente nella gestione dell'energia durante la corsa, permettendoti di spendere meno energia per ogni movimento. Grazie a questo, perdi meno calorie durante lo sprint, il che ti aiuta a mantenere la resistenza più a lungo ed evitare l'affaticamento rapido.","Su cuerpo se ha vuelto más eficiente en el manejo de la energía mientras corre, lo que le permite gastar menos energía en cada movimiento. Debido a esto, pierdes menos calorías al correr al Sprint, lo que te ayuda a mantener tu resistencia por más tiempo y evitar la fatiga rápida.","Votre corps est devenu plus efficace dans la gestion de l'énergie pendant la course, ce qui vous permet de dépenser moins d'énergie pour chaque mouvement. Grâce à cela, vous perdez moins de calories lorsque vous courez au Sprint, ce qui vous aide à maintenir votre endurance plus longtemps et à éviter la fatigue rapide.","你的身体在跑步时变得更有效地管理能量，这可以让你在每次运动上花费更少的能量。 多亏了这一点，你在短跑时失去更少的卡路里，这有助于你保持更长时间的耐力并避免快速疲劳。","あなたの体は、あなたが各動きに少ないエネルギーを費やすことができ、実行中にエネルギーを管理する際に、より効率的になっています。 これにより、短距離走時のカロリーが少なくなり、持久力をより長く維持し、急速な疲労を避けることができます。","Seu corpo se tornou mais eficiente no gerenciamento de energia durante a corrida, permitindo que você gaste menos energia em cada movimento. Graças a isso, você perde menos calorias ao correr sprint, o que ajuda você a manter a resistência por mais tempo e evitar a fadiga rápida.","你的身体在跑步时变得更有效地管理能量，这可以让你在每次运动上花费更少的能量。 多亏了这一点，你在短跑时失去更少的卡路里，这有助于你保持更长时间的耐力并避免快速疲劳。",
"STR_TERJEPERK_METABLSM_HYDRATIONCONTROL","Hydration control","Hydration control","Kontrola hydrace","Kontrolle der Hydration","Контроль гидрации","Kontrola nawodnienia","Hidratáció ellenőrzése","Controllo dell'idratazione","Control de hidratación","Contrôle de l'hydratation","水化控制","水和制御","Controle de hidratação","水化控制",
"STR_TERJEPERK_METABLSM_HYDRATIONCONTROL_DES","Your body has learned to effectively manage the water balance even with intense physical exertion. Due to this, you lose less moisture while sprinting, which allows you to stay hydrated longer and reduces the risk of dehydration.","Your body has learned to effectively manage the water balance even with intense physical exertion. Due to this, you lose less moisture while sprinting, which allows you to stay hydrated longer and reduces the risk of dehydration.","Vaše tělo se naučilo efektivně zvládat vodní rovnováhu i při intenzivní fyzické námaze. Díky tomu při běhu sprintem ztrácíte méně vlhkosti, což umožňuje delší hydrataci a snižuje riziko dehydratace.","Ihr Körper hat gelernt, den Wasserhaushalt auch bei intensiver körperlicher Anstrengung effektiv zu verwalten. Dadurch verlieren Sie beim Sprinten weniger Feuchtigkeit, wodurch Sie länger hydratisiert bleiben und das Risiko einer Dehydrierung reduziert wird.","Ваш организм научился эффективно управлять водным балансом даже при интенсивных физических нагрузках. Благодаря этому, вы теряете меньше влаги во время бега спринтом, что позволяет дольше сохранять гидратацию и снижает риск обезвоживания.","Twoje ciało nauczyło się efektywnie zarządzać bilansem wodnym, nawet przy intensywnym wysiłku fizycznym. Dzięki temu podczas sprintu tracisz mniej wilgoci, co pozwala na dłuższe nawodnienie i zmniejsza ryzyko odwodnienia.","A tested megtanulta hatékonyan kezelni a víz egyensúlyát még intenzív fizikai erőfeszítéssel is. Ennek köszönhetően kevesebb nedvességet veszít sprintelés közben, ami lehetővé teszi, hogy hosszabb ideig hidratált maradjon, és csökkenti a kiszáradás kockázatát.","Il tuo corpo ha imparato a gestire efficacemente il bilancio idrico, anche con un'intensa attività fisica. Grazie a questo, perdi meno umidità durante lo sprint, il che ti consente di rimanere idratato più a lungo e riduce il rischio di disidratazione.","Su cuerpo ha aprendido a administrar eficazmente el equilibrio hídrico incluso con un esfuerzo físico intenso. Debido a esto, pierde menos humedad durante el Sprint, lo que le permite mantenerse hidratado por más tiempo y reduce el riesgo de deshidratación.","Votre corps a appris à gérer efficacement l'équilibre hydrique, même avec un effort physique intense. Grâce à cela, vous perdez moins d'humidité pendant le Sprint, ce qui vous permet de rester hydraté plus longtemps et de réduire le risque de déshydratation.","你的身体已经学会了有效地管理它的水分平衡，即使是剧烈的体力消耗。 由于这个原因，你在冲刺时失去较少的水分，这可以让你保持更长时间的水分并降低脱水的风险。","あなたの体は、激しい運動でも効果的に水のバランスを管理することを学びました。 これにより、スプリント中の水分の損失が少なくなり、水分補給を長く保つことができ、脱水のリスクが軽減されます。","Seu corpo aprendeu a gerenciar efetivamente o equilíbrio de água, mesmo com esforço físico intenso. Graças a isso, você perde menos umidade durante a corrida de sprint, o que lhe permite manter-se hidratado por mais tempo e reduz o risco de desidratação.","你的身体已经学会了有效地管理它的水分平衡，即使是剧烈的体力消耗。 由于这个原因，你在冲刺时失去较少的水分，这可以让你保持更长时间的水分并降低脱水的风险。",
"STR_TERJEPERK_METABLSM_ENERGYCONTAIN","Energy containment","Energy containment","Zadržování energie","Energie eindämmen","Сдерживание энергии","Ograniczanie energii","Energia elszigetelés","Contenimento dell'energia","Contención de energía","Confinement énergétique","能源遏制","エネルギー封じ込め","Contenção de energia","能源遏制",
